energy_au,total_recorded_SI,n1_l0_m+0,n2_l0_m+0,n2_l1_m-1,n2_l1_m+0,n2_l1_m+1,n3_l0_m+0,n3_l1_m-1,n3_l1_m+0,n3_l1_m+1,n3_l2_m-2,n3_l2_m-1,n3_l2_m+0,n3_l2_m+1,n3_l2_m+2,n5_l2_m-2,n5_l2_m+2,n5_l4_m-4,n5_l4_m-2,n5_l4_m+2,n5_l4_m+4
1.099999999999999728e-01,4.719806645209173823e-05,2.923389079820327489e-08,3.872691849021463910e-05,3.857850873801378860e-07,1.893371405129210939e-07,7.853469582375253647e-06,9.781351479794559925e-13,9.150629146622523079e-12,1.056253193368883090e-12,1.030975583503430270e-10,1.848237011542406696e-14,3.299390733300828815e-14,6.492978312552180134e-12,2.681547484330863332e-11,8.559799674606292274e-09,7.274614243991197169e-21,2.691841052855749357e-10,1.937867471741549064e-32,4.281368085499454455e-23,1.573933668461646073e-09,2.771700856946641810e-09
1.149999999999999772e-01,4.161847791706073732e-05,3.494267680360390698e-08,3.339049221268242736e-05,5.498773099487442172e-07,1.441486491099300745e-06,6.189747529774444915e-06,1.671499289060262250e-13,1.126773424453530290e-12,1.415986404661458000e-13,3.115041971360410927e-10,2.522851228651757806e-14,4.706151456176980210e-14,1.012927327663637771e-11,2.988254497261614066e-11,7.136811726441628176e-09,1.011929870179125728e-20,1.799060388059678270e-11,2.646072249256367662e-32,5.845550395048161271e-23,2.239342038493709308e-09,2.184528555985203933e-09
1.199999999999999817e-01,3.322637286523580824e-05,4.756822950696036574e-08,2.653626519309313021e-05,6.831749800856030107e-07,4.310194918289031601e-06,1.639636348136701877e-06,3.136261486161624250e-13,2.332678138546539137e-14,1.039585425271024082e-14,1.525439171801854540e-10,3.017536691948545922e-14,5.305455182526220347e-14,5.943739183218581621e-12,1.609044254182832605e-11,5.917739107454711327e-09,1.250697912609287887e-20,7.848042087082977685e-11,3.164629417730831382e-32,6.996777422898105014e-23,2.783296010829810948e-09,5.786719076079050869e-10
1.249999999999999722e-01,3.068136851727545840e-05,6.440188082786237948e-08,1.935267209884635153e-05,7.713633674110164158e-07,8.227482623466769116e-06,2.257062776728961664e-06,7.987046919513283756e-14,4.392647432653745997e-15,9.586316132077369590e-15,1.867686902201215481e-10,3.227348183214686646e-14,5.428236573203161199e-14,1.422898138627304257e-12,3.769734656283282302e-12,4.174027004155428851e-09,1.409152221431559342e-20,8.053468384530213728e-11,3.384379599164857394e-32,7.481156679342414890e-23,3.142488235364686218e-09,7.965783428318177772e-10
1.299999999999999767e-01,3.726571403100432267e-05,8.147187499865260857e-08,1.266674279667603565e-05,8.048882195328262353e-07,1.238767724553631536e-05,1.131460909593884424e-05,1.458022084844545407e-14,4.201129292945671919e-15,1.749005009115921085e-14,1.951454097002511681e-10,3.057276394183803990e-14,5.360000121218649982e-14,1.403770710724468723e-13,3.001913657387955327e-13,2.773782255366414258e-09,1.466195440645500041e-20,8.301235822622218489e-11,3.206327922169267836e-32,7.095363228716934131e-23,3.279067257272275279e-09,3.993230028470837319e-09
1.349999999999999811e-01,4.359583170788389769e-05,9.464721515336600836e-08,7.102938388899780360e-06,7.801159734691757618e-07,1.588353024893702012e-05,1.972264143185468833e-05,9.973770119335919862e-15,4.768440572211157919e-15,1.912143730971946198e-14,1.887665649707731360e-10,2.711168171684415336e-14,4.954858008748809902e-14,4.407742851532024587e-14,4.810144570445931697e-14,1.550166462649766575e-09,1.416262320895029016e-20,8.051395759684650175e-11,2.843519403145028658e-32,6.299212941030324542e-23,3.178149205739482826e-09,6.960650676114893216e-09
1.399999999999999856e-01,3.766063542833127890e-05,1.012790732418996296e-07,3.148114326508451074e-06,7.045687577119011815e-07,1.809471460386792785e-05,1.560265104485575950e-05,8.287887163222290490e-15,7.028223307803602034e-15,1.555269795467738906e-14,1.706407477439645011e-10,2.266647817698501089e-14,4.214182787850468248e-14,3.602196811249046683e-14,4.369003982539901165e-14,6.871095847456941053e-10,1.275763827434264595e-20,7.272841909431857367e-11,2.377176350191322987e-32,5.268523680634426695e-23,2.870372853147222842e-09,5.506595151477010490e-09
1.449999999999999900e-01,2.399336405745597738e-05,1.019670508676048217e-07,1.053655932416678363e-06,5.952388350079336126e-07,1.887990002845048003e-05,3.358556004887574044e-06,8.226443938406611115e-15,1.052701618513682350e-14,1.523570383006597278e-14,1.443945323929889698e-10,1.770079512766042482e-14,3.453813329027616167e-14,2.837856460734523629e-14,3.795489607721021612e-14,2.299841437931530752e-10,1.075651361559564936e-20,6.138242124374005787e-11,1.856348782728441084e-32,4.116911456856840735e-23,2.424967467519516387e-09,1.185324699187958702e-09
1.499999999999999944e-01,2.448145413331697550e-05,9.939634213780660454e-08,7.499837081056936186e-07,4.743745695786014128e-07,1.841088262276585760e-05,4.742882554505879387e-06,7.900780920763408702e-15,1.380419457359324323e-14,2.095837881209454226e-14,1.151450303766937839e-10,1.222419606028696003e-14,2.763386509846974829e-14,2.207390222544568551e-14,3.257190197777727578e-14,1.636978803141267797e-10,8.545888854595345917e-21,4.889205993657864595e-11,1.282138891479984363e-32,2.849224393842950018e-23,1.932573260662767838e-09,1.673890824617748414e-09
1.549999999999999989e-01,4.998200723585170547e-05,9.474031821236611740e-08,1.924249541297359563e-06,3.523505748074263943e-07,1.698082491585499503e-05,3.061705888559999086e-05,5.836690880332302555e-15,1.565948565397250706e-14,2.872164440404149557e-14,8.550754291673791956e-11,7.302191575657291676e-15,1.987626020896415545e-14,1.561118841055756832e-14,2.588819349371557517e-14,4.200122682079256728e-10,6.320155645618029219e-21,3.632285665048586185e-11,7.659763956759069818e-33,1.707600038743636348e-23,1.435455042443742325e-09,1.080558347368819918e-08
