energy_au,total_recorded_SI,n1_l0_m+0,n2_l0_m+0,n2_l1_m-1,n2_l1_m+0,n2_l1_m+1
1.699999999999999845e-01,4.304419774821721840e-03,2.341424803215383131e-07,1.427125623060294293e-06,5.142169138254214642e-07,9.616413087363505556e-06,4.292627876717151382e-03
1.749999999999999889e-01,6.571344083422905533e-03,3.888023985410425109e-07,1.194847266242875809e-06,9.441362198802155473e-07,1.975565112301120059e-06,6.566840732425940214e-03
1.799999999999999933e-01,8.601355833236254064e-03,4.103009074666844185e-07,1.356220936797971063e-06,3.545502167957477471e-07,3.460971179658390388e-06,8.595773789995535263e-03
1.809999999999999942e-01,8.913796310722154476e-03,4.722621080900691346e-07,1.116315169463068338e-06,5.952691048877220690e-07,7.489464751353000312e-07,8.910863517864579114e-03
1.819999999999999951e-01,9.188851156166280912e-03,4.528494697109880355e-07,1.785207254526719524e-06,4.157771999239407714e-07,2.245419086123845235e-06,9.183951903155995397e-03
1.829999999999999960e-01,9.413744615363909066e-03,4.432715583425891576e-07,1.599968661139790783e-06,2.353511566893337934e-07,2.676668529722945807e-06,9.408789355458014453e-03
1.839999999999999969e-01,9.582482290095227159e-03,5.062185157034919406e-07,1.491172209120418966e-06,4.902763239448167296e-07,5.311745183078798420e-07,9.579463448528150252e-03
1.849999999999999978e-01,9.697345788477277836e-03,5.026295804287685081e-07,1.879781443862109824e-06,4.138445456257451413e-07,1.043691596682956170e-06,9.693505841310678939e-03
1.859999999999999987e-01,9.750768095573165636e-03,4.661812210563965040e-07,1.557933672740166725e-06,1.246653070642704118e-07,1.696203036666957511e-06,9.746923112335638406e-03
1.869999999999999996e-01,9.738274933273300543e-03,4.951352205302243049e-07,1.620630237801752776e-06,2.751924686271228889e-07,3.516106632296695752e-07,9.735532364683111700e-03
1.880000000000000004e-01,9.662579826534754834e-03,4.984016245802613277e-07,2.301232694620567147e-06,3.747349465847295177e-07,4.633775702600603275e-07,9.658942079698709660e-03
1.890000000000000013e-01,9.520162095248486597e-03,4.569225014483491613e-07,1.919305489738629982e-06,1.493747383800595294e-07,1.035703193533976484e-06,9.516600789325386361e-03
1.900000000000000022e-01,9.310058224953373165e-03,4.519524834575132803e-07,1.571720427187496257e-06,1.214777857369789211e-07,2.458293479980516544e-07,9.307667244908992762e-03
1.910000000000000031e-01,9.038316079801834643e-03,4.461503023889702267e-07,2.277440993387732236e-06,2.125741988540673558e-07,2.498426870062067121e-07,9.035130071620198211e-03
1.920000000000000040e-01,8.706607927799564495e-03,4.131433670106164366e-07,2.229891659102259271e-06,1.171339910280934779e-07,7.038885550122928149e-07,8.703143870227410955e-03
1.930000000000000049e-01,8.318248979246937319e-03,3.996232386905805298e-07,1.674698048031291879e-06,6.686462109889367589e-08,2.171015771685780935e-07,8.315890691761947465e-03
1.940000000000000058e-01,7.883941552845899481e-03,3.859748046516754031e-07,2.103607839312723529e-06,1.159554299414502568e-07,1.226862794085670804e-07,7.881213328492585324e-03
1.950000000000000067e-01,7.412388010978676091e-03,3.537306722369257901e-07,2.349020440199362235e-06,7.672856276954753564e-08,4.174234227094281706e-07,7.409191107880760616e-03
1.960000000000000075e-01,6.913022283923236054e-03,3.328718446424415697e-07,1.902158106322550192e-06,3.216924177028461784e-08,1.460882349044601725e-07,6.910608996495596484e-03
1.970000000000000084e-01,6.402173396899573689e-03,3.130087539734846939e-07,2.018186327240706923e-06,4.899650037010426809e-08,4.727204688048862727e-08,6.399745933271108918e-03
1.980000000000000093e-01,5.896647544631413405e-03,2.838059342231828245e-07,2.308156028088420427e-06,3.715504477530016711e-08,1.997196639538297327e-07,5.893818707960372938e-03
1.989999999999999825e-01,5.413978701377707495e-03,2.639471740366103491e-07,2.079972240049040331e-06,1.295416866741305821e-08,6.245825478141567130e-08,5.411559369540173449e-03
1.999999999999999833e-01,4.977439087508394797e-03,2.459280576603064120e-07,2.026222367102462298e-06,1.407586041165093318e-08,2.172081542289973802e-08,4.975131140407797192e-03
2.009999999999999842e-01,4.612520706479951958e-03,2.257954121366021981e-07,2.199110677908325440e-06,1.021059615086254495e-08,8.165196767750044926e-08,4.610003937826078618e-03
2.019999999999999851e-01,4.346284425515149763e-03,2.162003648786868470e-07,2.143692884443130719e-06,2.740949304719155883e-09,9.836960527015129511e-09,4.343911954355995919e-03
2.029999999999999860e-01,4.210365464281144547e-03,2.115629184623392960e-07,2.071849934166998778e-06,2.453874524271731288e-09,2.620185757150694281e-08,4.208053395696419001e-03
2.039999999999999869e-01,4.239384378509802181e-03,2.115746502149961406e-07,2.085399604330362985e-06,2.408629626341440112e-09,3.360314664815081570e-08,4.237051392478981965e-03
2.049999999999999878e-01,4.470683141710452869e-03,2.244045844873914695e-07,2.095734629523733861e-06,3.323212508329391250e-09,2.437136028632620009e-09,4.468357242147905084e-03
2.059999999999999887e-01,4.945324125376078517e-03,2.480408119777209394e-07,2.098198784715934605e-06,6.135886742104463231e-09,6.022603695089953953e-08,4.942911523855691817e-03
2.069999999999999896e-01,5.707330111049632206e-03,2.845102401882358887e-07,1.994997091994874177e-06,1.288666438804286312e-08,2.358145300268994503e-08,5.705014135600058531e-03
2.079999999999999905e-01,6.804519711784570712e-03,3.357186671453393921e-07,1.968970681713094132e-06,1.802042077694443521e-08,3.083601697407761653e-08,6.802166165997961152e-03
2.089999999999999913e-01,8.287870679388010392e-03,4.056428321310289832e-07,2.065147016628033652e-06,2.122849109215931969e-08,1.326799076073733668e-07,8.285245981140552593e-03
2.099999999999999922e-01,1.021071068110625431e-02,5.001596795373506610e-07,1.926194293555944808e-06,3.701268898319229090e-08,3.562181436076471921e-08,1.020821169262981637e-02
2.109999999999999931e-01,1.263102247809033164e-02,6.102083810266882210e-07,1.804906252613235856e-06,4.796277474624100103e-08,7.123949859208101980e-08,1.262848816118335334e-02
2.119999999999999940e-01,1.560957512142832800e-02,7.469839842688913853e-07,1.957408030221460791e-06,4.724411081757851278e-08,2.480234882001182772e-07,1.560657546181482003e-02
2.129999999999999949e-01,1.920834075880761133e-02,9.259934036620980253e-07,1.859097472314769149e-06,6.975940573058282745e-08,7.319856133240032047e-08,1.920541270996457134e-02
2.139999999999999958e-01,2.349459246800687101e-02,1.120748371254377276e-06,1.637789190243261063e-06,9.103027258208873996e-08,9.821961563406816006e-08,2.349164468055715826e-02
2.149999999999999967e-01,2.853821595881492548e-02,1.346864658094646708e-06,1.783419120262551893e-06,8.503500402888637260e-08,3.973996844959441601e-07,2.853460324034804221e-02
