energy_au,total_recorded_SI,n1_l0_m+0,n2_l0_m+0,n2_l1_m-1,n2_l1_m+0,n2_l1_m+1
2.039999999999999869e-01,2.606205087149269978e-11,1.232841016306327008e-11,6.292244919780877087e-15,1.466495997812220740e-17,7.969227880142943235e-18,1.372732582932178994e-11
2.049999999999999878e-01,2.585263001685460578e-11,1.219446131105301561e-11,6.820156378495057543e-15,3.304122610171978237e-19,8.482115518422456408e-20,1.365134813418967743e-11
2.059999999999999887e-01,2.556514787148021720e-11,1.210522386044687249e-11,7.088283943264510898e-15,2.126360202000728175e-17,9.750356818225603808e-18,1.345280471313124471e-11
2.069999999999999896e-01,2.540036946956137637e-11,1.220054791671723955e-11,6.997404602446549969e-15,6.389279805687927528e-17,3.034612395787685190e-17,1.319272990931967676e-11
2.079999999999999905e-01,2.546068314055997929e-11,1.249806562551790006e-11,6.509591086277712425e-15,9.977787760927092092e-17,4.780750079479814436e-17,1.295596033857739573e-11
2.089999999999999913e-01,2.571556521881117453e-11,1.287908553123694469e-11,5.685349884209779097e-15,1.047320362462304095e-16,5.015695156202167140e-17,1.283063944870221019e-11
2.099999999999999922e-01,2.605428483281318364e-11,1.316641416836109063e-11,4.680919097612367821e-15,7.530814408629694953e-17,3.572557044243363673e-17,1.288307871163995485e-11
2.109999999999999931e-01,2.638461462189814787e-11,1.324349804296269061e-11,3.698221999066738900e-15,3.129434953124396518e-17,1.438264039280088607e-17,1.313737267994646789e-11
2.119999999999999940e-01,2.670660310984121765e-11,1.313552409334385744e-11,2.907814598415997054e-15,2.341608216692559382e-18,8.395493112841528586e-19,1.356816802074141531e-11
2.129999999999999949e-01,2.710866055162937581e-11,1.299706422215973115e-11,2.383296867625148903e-15,7.787867606428723424e-18,4.573927658388053035e-18,1.410920067080675499e-11
2.139999999999999958e-01,2.768787459138696033e-11,1.301239319834281542e-11,2.081982649411897368e-15,4.351968146427077340e-17,2.330388928088344601e-17,1.467333258682398616e-11
