energy_au,total_recorded_SI,n1_l0_m+0,n2_l0_m+0,n2_l1_m-1,n2_l1_m+0,n2_l1_m+1
1.910000000000000031e-01,2.624868638492306263e-04,2.003010937095539568e-04,6.160289619599868915e-05,1.677708120755246408e-07,2.473323192826889610e-07,1.677708123197107134e-07
1.920000000000000040e-01,2.518600583242698024e-04,1.901803638254268426e-04,6.128309219769487518e-05,8.063288888030431754e-08,2.353365232323908229e-07,8.063288903533066983e-08
1.930000000000000049e-01,2.349403700305321453e-04,1.737596802085960472e-04,6.084426984891779688e-05,2.956037465186871265e-08,2.772992236560945308e-07,2.956037471032973884e-08
1.940000000000000058e-01,2.125558222198388047e-04,1.518668305996164424e-04,6.029088949457470347e-05,1.361635702878786289e-08,3.708694116312233709e-07,1.361635698762323459e-08
1.950000000000000067e-01,1.860248044371255207e-04,1.258201870310975980e-04,5.962770533865198382e-05,3.172710977747626441e-08,5.134578479606753528e-07,3.172710963780805544e-08
1.960000000000000075e-01,1.571274607366253265e-04,9.740002374427150517e-05,5.885961565632205183e-05,8.270591827835657938e-08,7.024094997082002075e-07,8.270591804518732166e-08
1.970000000000000084e-01,1.280438302814887377e-04,6.878656704220842367e-05,5.799155347730231393e-05,1.652765780451651825e-07,9.351566062058791805e-07,1.652765777269613475e-07
1.980000000000000093e-01,1.012588549856334241e-04,4.246491469491301166e-05,5.702842572531450864e-05,2.780940043982793816e-07,1.209326557001178111e-06,2.780940040064549104e-07
1.989999999999999825e-01,7.943642990805367167e-05,2.109902111793139423e-05,5.597510127203770398e-05,4.197600307731576429e-07,1.522787456989936169e-06,4.197600303214893940e-07
1.999999999999999833e-01,6.526683031021505489e-05,7.379096759579110493e-06,5.483644138874693783e-05,5.888333688283767298e-07,1.873625424728265005e-06,5.888333683323716000e-07
2.009999999999999842e-01,6.129399299525122209e-05,3.848905528994577031e-06,5.361736060475093279e-05,7.838337023150226511e-07,2.260059457399446304e-06,7.838337017912356877e-07
2.019999999999999851e-01,6.973113685692577609e-05,1.272144229445379724e-05,5.232290267195236757e-05,1.003240828973686252e-06,2.680310233106856325e-06,1.003240828439071666e-06
2.029999999999999860e-01,9.227495116432150434e-05,3.569320774478467779e-05,5.095831549059966431e-05,1.245490508974703743e-06,3.132446911516536242e-06,1.245490508445929449e-06
2.039999999999999869e-01,1.299299328494450245e-04,7.376864447708400693e-05,4.952911039756273414e-05,1.508969121348617565e-06,3.614239732608204997e-06,1.508969120841443671e-06
2.049999999999999878e-01,1.828552951862562673e-04,1.271071362786572513e-04,4.804109474285555203e-05,1.792009319773985655e-06,4.123045525666809777e-06,1.792009319302659465e-06
2.059999999999999887e-01,2.502470921007460204e-04,1.949051950190687293e-04,4.650037151793858393e-05,2.092888620646684369e-06,4.655748322868650827e-06,2.092888620223392783e-06
2.069999999999999896e-01,3.302677174479422295e-04,2.753259787509628560e-04,4.491330514929187047e-05,2.409832306626900387e-06,5.208768934799279101e-06,2.409832306261315885e-06
2.079999999999999905e-01,4.200336867023365907e-04,3.654870396357984470e-04,4.328645762042299946e-05,2.741021285843002889e-06,5.778146874730251024e-06,2.741021285541873783e-06
2.089999999999999913e-01,5.156705634083900112e-04,4.615151638378298202e-04,4.162650312979952554e-05,3.084604732618984877e-06,6.359686975755789862e-06,3.084604732385871669e-06
2.099999999999999922e-01,6.124410681650902443e-04,5.586743499465447217e-04,3.994013202708955178e-05,3.438716576467915602e-06,6.949153038685059497e-06,3.438716576303008028e-06
2.109999999999999931e-01,7.049488622111154930e-04,6.515694347230435420e-04,3.823395554954066853e-05,3.801494314028882408e-06,7.542483310573511624e-06,3.801494313928914733e-06
2.119999999999999940e-01,7.874163365711394323e-04,7.344237195008934335e-04,3.651442193237409306e-05,4.171098275083562722e-06,8.135998587746386552e-06,4.171098275041902254e-06
2.129999999999999949e-01,8.540301147860957561e-04,8.014243300543032406e-04,3.478775206813683587e-05,4.545729419316263089e-06,8.726573825016397540e-06,4.545729419323069845e-06
2.139999999999999958e-01,8.993430915711477305e-04,8.471241558113543676e-04,3.305989950565492105e-05,4.923643970897333797e-06,9.311748312301185490e-06,4.923643970939917532e-06
2.149999999999999967e-01,9.187169205862225725e-04,8.668843002718224378e-04,3.133653578153983426e-05,5.303163667278612770e-06,9.889757198239723570e-06,5.303163667341806510e-06
2.159999999999999976e-01,9.087842028988259331e-04,8.573363050111736453e-04,2.962305845322027529e-05,5.682681027910573681e-06,1.045947737854401736e-05,5.682681027977371546e-06
2.169999999999999984e-01,8.679055051343795074e-04,8.168392772085100294e-04,2.792461626721389454e-05,6.060659739405777077e-06,1.102029217979190283e-05,6.060659739457859439e-06
2.179999999999999993e-01,7.965930508606671942e-04,7.459037546675020098e-04,2.624614402319297812e-05,6.435630903212604241e-06,1.157189036352843081e-05,6.435630903231149180e-06
2.190000000000000002e-01,6.978707695476294619e-04,6.475519733607389139e-04,2.459239907145765352e-05,6.806186408310637456e-06,1.211402429884526712e-05,6.806186408276986531e-06
2.200000000000000011e-01,5.775396179713243551e-04,5.275834254865297782e-04,2.296799199810127309e-05,7.170971006628551491e-06,1.264625847353971835e-05,7.170971006525023736e-06
2.210000000000000020e-01,4.443179304244354220e-04,3.947154332393393869e-04,2.137740571641267071e-05,7.528674747048818318e-06,1.316774197477511408e-05,7.528674746859442926e-06
2.220000000000000029e-01,3.098291699287229121e-04,2.605710790531482737e-04,1.982499956341777966e-05,7.878027264968868906e-06,1.367703678250795412e-05,7.878027264680044224e-06
2.230000000000000038e-01,1.884139347634223606e-04,1.394913191404769542e-04,1.831499768582371408e-05,8.217795062358861173e-06,1.417202781280281073e-05,8.217795061960017075e-06
2.239999999999999769e-01,9.674943289500179176e-05,4.815447325556737780e-05,1.685146356617970366e-05,8.546782409280273980e-06,1.464993125521013416e-05,8.546782408764295389e-06
2.249999999999999778e-01,5.326779207723836957e-05,4.994449673411165963e-06,1.543826461482467109e-05,8.863835930065815571e-06,1.510740592950725012e-05,8.863835929429473599e-06
2.259999999999999787e-01,7.737435419689663366e-05,2.941885784169862467e-05,1.407903206570477542e-05,9.167852388958384329e-06,1.554075951233238083e-05,9.167852388202459940e-06
2.269999999999999796e-01,1.884782468401841504e-04,1.408393184599681920e-04,1.277712182876206285e-05,9.457788736881808000e-06,1.594622907856084817e-05,9.457788736011230925e-06
2.279999999999999805e-01,4.048596857785751292e-04,3.575384529649675274e-04,1.153558147744063053e-05,9.732673181474773002e-06,1.632030497419372902e-05,9.732673180498413370e-06
2.289999999999999813e-01,7.424112159490745986e-04,6.954107968528530550e-04,1.035712732877028535e-05,9.991615930012731915e-06,1.666005990849543105e-05,9.991615928943127508e-06
2.299999999999999822e-01,1.213302959132744668e-03,1.166627746311466127e-03,9.244133848586675456e-06,1.023381833455340217e-05,1.696344230473189598e-05,1.023381833340635693e-05
2.309999999999999831e-01,1.824634369642134284e-03,1.778289080215573288e-03,8.198635686420703279e-06,1.045857941847632707e-05,1.722949490439368154e-05,1.045857941727033511e-05
2.319999999999999840e-01,2.577146440116389291e-03,2.531135034646261883e-03,7.222340822019729445e-06,1.066529913886792271e-05,1.745846637161648402e-05,1.066529913762349918e-05
2.329999999999999849e-01,3.464078171356777935e-03,3.418402768503241585e-03,6.316651857932058299e-06,1.085347818032962497e-05,1.765179463620691379e-05,1.085347817906850472e-05
2.339999999999999858e-01,4.470258853960708094e-03,4.424918778434169461e-03,5.482691612657735165e-06,1.102271451761229511e-05,1.781195487991165839e-05,1.102271451635672292e-05
2.349999999999999867e-01,5.571532763556846790e-03,5.526523858945277951e-03,4.721328948560488042e-06,1.117269736583776414e-05,1.794218093256025703e-05,1.117269736460967987e-05
2.359999999999999876e-01,6.734614750800037471e-03,6.689929066136393945e-03,4.033201192582432421e-06,1.130319940913849531e-05,1.804608465396389218e-05,1.130319940795874274e-05
2.369999999999999885e-01,7.917473483201657031e-03,7.873099404282301803e-03,3.418730462794390852e-06,1.141406833108764939e-05,1.812721179549954569e-05,1.141406832997529524e-05
2.379999999999999893e-01,9.070333424428159153e-03,9.026256271474589199e-03,2.878132513261227623e-06,1.150521865456775145e-05,1.818858313219988540e-05,1.150521865353942127e-05
2.389999999999999902e-01,1.013737677681287273e-02,1.009357983428278011e-02,2.411418126775771438e-06,1.157662474753058009e-05,1.823227490918824571e-05,1.157662474659994499e-05
2.399999999999999911e-01,1.105921244311539736e-02,1.101567833161867446e-02,2.018388390083029180e-06,1.162831559534218696e-05,1.825909191677755689e-05,1.162831559451954347e-05
2.409999999999999920e-01,1.177616059787663962e-02,1.173287284897002111e-02,1.698626182243065453e-06,1.166037162367265795e-05,1.826837947773669109e-05,1.166037162296474847e-05
2.419999999999999929e-01,1.223237885951114316e-02,1.218932351802406652e-02,1.451486757434937996e-06,1.167292352728476483e-05,1.825800767566226069e-05,1.167292352669449807e-05
2.429999999999999938e-01,1.238082964320134927e-02,1.233799670396389450e-02,1.276090350331372087e-06,1.166615276687862831e-05,1.822454335383919005e-05,1.166615276640520465e-05
2.439999999999999947e-01,1.218905853940456356e-02,1.214644302927507871e-02,1.171319298765462646e-06,1.164029317722538476e-05,1.816360447662766642e-05,1.164029317686437085e-05
2.449999999999999956e-01,1.164572115891931645e-02,1.160332370197941429e-02,1.135821361851193020e-06,1.159563301052074705e-05,1.807036955726718154e-05,1.159563301026437729e-05
