energy_au,total_recorded_SI,n1_l0_m+0,n2_l0_m+0,n2_l1_m-1,n2_l1_m+0,n2_l1_m+1,n3_l0_m+0,n3_l1_m-1,n3_l1_m+0,n3_l1_m+1,n3_l2_m-2,n3_l2_m-1,n3_l2_m+0,n3_l2_m+1,n3_l2_m+2,n5_l2_m-2,n5_l2_m+2,n5_l4_m-4,n5_l4_m-2,n5_l4_m+2,n5_l4_m+4
1.099999999999999728e-01,4.735222818141710362e-05,2.923389124746576163e-08,3.872536492410308102e-05,3.792374645498844310e-07,1.893371405227174006e-07,7.984312872524587033e-06,9.784660104238494551e-13,1.941876187969362280e-09,1.056253014406205198e-12,6.148532137779154559e-10,8.452376694803708786e-09,2.871908910877866463e-14,6.495730959539776638e-12,3.091774537279760230e-11,2.066653346981897869e-10,8.251816231556359456e-10,1.313892438822818752e-18,1.338433308843623899e-10,3.252761516784432142e-08,4.752813238703393520e-19,2.166784912066389764e-28
1.149999999999999772e-01,4.173796116008151479e-05,3.494267754180315917e-08,3.339193586779296957e-05,5.410877403167485967e-07,1.441486491102891106e-06,6.292872328639353090e-06,1.673690182582385124e-13,1.526964841729486927e-09,1.415985271458247792e-13,7.905161890037921236e-11,7.288278179145477906e-09,4.162673584107592028e-14,1.012734458019873903e-11,3.445322901077967964e-11,2.199042255390409193e-10,6.491759056059421450e-10,1.347865954968028727e-18,1.909646130425120939e-10,2.563678413405657649e-08,5.057147981072683410e-19,2.305851664021706551e-28
1.199999999999999817e-01,3.324573639541540784e-05,4.756823029795476464e-08,2.653554834982660445e-05,6.719350020533933524e-07,4.310194918381288735e-06,1.666953701195488176e-06,3.135279724368039857e-13,4.043285304107514797e-10,1.039609487853386216e-14,1.509579750425320047e-12,5.791771754066199745e-09,4.840928545381149171e-14,5.940960260647405337e-12,1.854922432167276340e-11,1.135990945641959410e-10,1.719089904891531286e-10,6.670211909550470156e-19,2.371440888715573039e-10,6.791069103664080816e-09,2.612524347722285469e-19,1.191031161699895510e-28
1.249999999999999722e-01,3.071274696465987804e-05,6.440188227770174230e-08,1.935281772069320110e-05,7.587132739479712267e-07,8.227482623429079538e-06,2.294666641907580382e-06,8.043927116272599507e-14,5.565670086922158611e-10,9.586276247197328593e-15,6.367699281818557735e-14,4.224036086704655934e-09,5.166045586522352853e-14,1.426356762319205644e-12,4.341209774567582559e-12,2.550033927466184343e-11,2.366392904508634398e-10,1.843250476216224744e-19,2.677704311042213384e-10,9.348336318340337939e-09,5.864276398520480733e-20,2.673929633825312610e-29
1.299999999999999767e-01,3.748459894743934995e-05,8.147187810801040953e-08,1.266674922506124762e-05,7.916982298486920829e-07,1.238767724539719867e-05,1.150311667517744881e-05,1.568015642104746472e-14,2.790035922562026962e-09,1.749003688515439455e-14,4.366517073501032873e-15,2.764704014934587358e-09,5.339156914100094942e-14,1.407732018911203642e-13,3.382340779191353192e-13,1.698301285983926046e-12,1.186264512612075515e-09,2.166528655023393477e-19,2.794116693256473798e-10,4.686300949025313451e-08,3.915343394368043551e-21,1.780669466953749185e-30
1.349999999999999811e-01,4.399012016612407138e-05,9.464721977815855500e-08,7.102938732080802391e-06,7.673323299824020545e-07,1.588353024890869534e-05,2.005123165372250547e-05,9.560189170119147774e-15,4.863345222477773171e-09,1.912143764603036651e-14,6.256000391444615555e-15,1.550321047507316869e-09,5.181274096462057379e-14,3.741157897551767161e-14,4.527551868796557937e-14,2.392292555787215895e-14,2.067790578489045475e-09,3.612077311325726257e-19,2.708122532761622041e-10,8.168751918900053825e-08,7.092142059806510187e-23,2.521468867454920677e-32
1.399999999999999856e-01,3.797076740062993016e-05,1.012790776173111446e-07,3.148112678303840053e-06,6.930225639894077251e-07,1.809471460386311671e-05,1.586260006660968118e-05,6.809223397249025102e-15,3.847411492292902754e-09,1.555271050163585312e-14,7.404914975966078261e-15,6.871223966181295971e-10,4.661256124080368758e-14,3.059385365856636449e-14,3.880824798361078423e-14,2.155996840302654163e-14,1.635836291451802296e-09,2.857443785991503900e-19,2.445863133594630351e-10,6.462328641107235613e-08,6.224262251016926003e-23,2.269882079679752693e-32
1.449999999999999900e-01,2.405104594966383700e-05,1.019670536000163514e-07,1.053655447160021915e-06,5.854843322244243078e-07,1.887990002838200250e-05,3.414511507814090573e-06,7.802321213823784645e-15,8.281799568112132128e-10,1.523570730928699725e-14,1.040475748277391611e-14,2.299763908678119961e-10,4.044842150541608308e-14,2.811372503969885816e-14,3.175373536143148592e-14,1.542191921730644438e-14,3.521248609948005522e-10,6.150957191411894742e-20,2.066331682066019109e-10,1.391051692575793227e-08,3.823101022621972772e-23,1.619240110830497224e-32
1.499999999999999944e-01,2.457040468049425419e-05,9.939634453305852242e-08,7.499838356166870335e-07,4.666008489425955897e-07,1.841088262279049609e-05,4.821901578388910895e-06,8.718167893009221752e-15,1.169538585287690191e-09,2.095837312778824942e-14,1.369997095484460610e-14,1.636954492665317239e-10,3.419112946931233179e-14,2.296109514741727965e-14,2.577964482145353545e-14,1.053977519379415386e-14,4.972636704274588254e-10,8.683080918738929781e-20,1.646759896741056945e-10,1.964413967960926694e-08,2.804103562060043905e-23,1.108054415133842481e-32
1.549999999999999989e-01,5.061166028888233412e-05,9.474032324590736970e-08,1.924249903713611713e-06,3.465764907357689724e-07,1.698082491600727122e-05,3.112715627202652366e-05,6.087072544366664660e-15,7.549771746881519802e-09,2.872165048036568034e-14,1.587942877413746617e-14,4.199959518264692300e-10,2.666783108386939814e-14,1.523724000164053552e-14,1.889397397111956846e-14,6.390488704552441807e-15,3.210001603673899088e-09,5.605350992755927558e-19,1.223161728267971992e-10,1.268101797998031274e-07,3.945813992254525834e-23,6.902901161905710449e-33
1.599999999999999756e-01,7.661257682959235591e-05,8.938281196220754059e-08,4.209865133423248564e-06,2.283142297343491358e-07,1.459085721858404865e-05,5.724017853179110395e-05,2.302633068939768129e-15,1.388337511607856281e-08,3.277079965515782662e-14,1.693453995692828929e-14,9.188646567331162892e-10,1.825701852427008798e-14,8.963959384618218076e-15,1.134070443571033991e-14,3.212541122227760680e-15,5.902915777111270173e-09,1.030766109747053258e-18,8.057825482087546204e-11,2.331930765094650922e-07,5.299921433195436577e-23,3.745313442172816295e-33
1.649999999999999800e-01,6.557703956324994630e-05,7.424213237382052095e-08,7.041835583000280449e-06,1.389138035413642163e-07,1.187699750711998255e-05,4.623910555943035324e-05,1.311495397207708252e-15,1.121510761337612863e-08,3.098052386710919048e-14,1.775683653476161951e-14,1.536983462947603837e-09,1.235217763375197857e-14,4.630629076468610749e-15,6.586660160088397776e-15,1.023154615480097224e-15,4.768426274765583523e-09,8.326466862952563194e-19,4.902645881200157200e-11,1.883753593319610228e-07,3.918590654673902625e-23,1.376344899006861979e-33
