energy_au,total_recorded_SI,n1_l0_m+0,n2_l0_m+0,n2_l1_m-1,n2_l1_m+0,n2_l1_m+1
1.799999999999999933e-01,8.595997932180647963e-03,1.448045347962857300e-06,1.558984142510209334e-06,5.670478163187986943e-07,3.571504819527438347e-06,8.588852350054328524e-03
1.809999999999999942e-01,8.913982808830730672e-03,1.495973823229806357e-06,8.516351014989023908e-07,3.735473824271352489e-07,7.313839795180948904e-06,8.903947812728393862e-03
1.819999999999999951e-01,9.186169959287981621e-03,1.485785262919917522e-06,9.673333687231350643e-07,3.873038684293535193e-07,6.896502459281534780e-06,9.176433034328627947e-03
1.829999999999999960e-01,9.407932764127064501e-03,1.480146469826757869e-06,1.608207141476924949e-06,5.531908889703590758e-07,3.186565657224036351e-06,9.401104653969566405e-03
1.839999999999999969e-01,9.577060793312568501e-03,1.525313751078234973e-06,1.932912644541507181e-06,6.515620434333942461e-07,2.955407168210162390e-07,9.572655464156695077e-03
1.849999999999999978e-01,9.690664441077297825e-03,1.597441019551452522e-06,1.623352854964005727e-06,5.479359091703897875e-07,5.048048816176493756e-07,9.686390906411993656e-03
1.859999999999999987e-01,9.744302766613531161e-03,1.632881757068056836e-06,1.191234278797583337e-06,3.256710972226451376e-07,2.315482835443189865e-06,9.738837496644999620e-03
1.869999999999999996e-01,9.733747453308573896e-03,1.601931511557692554e-06,1.259072887209033704e-06,1.761103555195466874e-07,3.010954663177969271e-06,9.727699383891109247e-03
1.880000000000000004e-01,9.656813434121051809e-03,1.538572109483876590e-06,1.787416245905243789e-06,1.937034687921260757e-07,1.876118978680139868e-06,9.651417623318191141e-03
1.890000000000000013e-01,9.513414093375117953e-03,1.496313687320165924e-06,2.169840872301270554e-06,3.005401349064060654e-07,4.042658055317350267e-07,9.509043132875058188e-03
1.900000000000000022e-01,9.304600363074113853e-03,1.487271978468544247e-06,1.991011246643833561e-06,3.544083207506032248e-07,4.191955862466392099e-08,9.300725751969626462e-03
1.910000000000000031e-01,9.032266364109631934e-03,1.474966423767650846e-06,1.489566433942723948e-06,2.975569795420274197e-07,6.198781821492942542e-07,9.028384396090230468e-03
1.920000000000000040e-01,8.699819532415708004e-03,1.422437310820287624e-06,1.223285306768062858e-06,1.904565221894152109e-07,1.030759232244884286e-06,8.695952594043685618e-03
1.930000000000000049e-01,8.312774646945360335e-03,1.334120130976641515e-06,1.416531398489693340e-06,1.237423470100310525e-07,7.519289157898915939e-07,8.309148324153093831e-03
1.940000000000000058e-01,7.878646871191533410e-03,1.245007287242777438e-06,1.769508000128332869e-06,1.246459543386467718e-07,2.298942120373366120e-07,7.875277815737786319e-03
1.950000000000000067e-01,7.406710121770971288e-03,1.177392644067927535e-06,1.872252997853584660e-06,1.505789184223989542e-07,2.650942286136584804e-08,7.403483387787766073e-03
1.960000000000000075e-01,6.908326599791382583e-03,1.119802720480184012e-06,1.662756145008897697e-06,1.513206059135488353e-07,1.217550098087119329e-07,6.905270965310171018e-03
1.970000000000000084e-01,6.397593554801525931e-03,1.048638241317768563e-06,1.416350004370848403e-06,1.186150195996133493e-07,1.684335352551880698e-07,6.394841518000982453e-03
1.980000000000000093e-01,5.891529101805795081e-03,9.600296227115413517e-07,1.373876669819142328e-06,7.902239478332449339e-08,7.178558730097779450e-08,5.889044387531180286e-03
1.989999999999999825e-01,5.409691878167332581e-03,8.729777547791895567e-07,1.497437718794153820e-06,5.624735867053472233e-08,2.644640150893697644e-08,5.407238768933579978e-03
1.999999999999999833e-01,4.973964470383446593e-03,8.057381168563413718e-07,1.591690798233225668e-06,5.053649739569206298e-08,1.153343833581969244e-07,4.971401170587603363e-03
2.009999999999999842e-01,4.608994859859764925e-03,7.589686121140235721e-07,1.560280755902696014e-06,4.863391722942258014e-08,1.785399247997343610e-07,4.606448436649718953e-03
2.019999999999999851e-01,4.342833794022792765e-03,7.243972273848657260e-07,1.471328504623444896e-06,4.213905644978612415e-08,1.196844299619978400e-07,4.340476244804372316e-03
2.029999999999999860e-01,4.207012510025787654e-03,7.025918978463703484e-07,1.415041638733726260e-06,3.265836226473828478e-08,9.901746788810940552e-08,4.204763200659054727e-03
2.039999999999999869e-01,4.236091867231190494e-03,7.055292319162924044e-07,1.389798461561479552e-06,2.479472339519087037e-08,2.719084285087021729e-07,4.233699836385809191e-03
2.049999999999999878e-01,4.467449211293941617e-03,7.445596054914484510e-07,1.351446449134837194e-06,1.995340646754821459e-08,4.916342608566638810e-07,4.464841617571990717e-03
2.059999999999999887e-01,4.941696401943617041e-03,8.237040874807428135e-07,1.308897761297266324e-06,1.678285897846120634e-08,4.977186225766247894e-07,4.939049298613284317e-03
2.069999999999999896e-01,5.703168679647291350e-03,9.464811316391194084e-07,1.308083289306847496e-06,1.418295566402338510e-08,3.587879328565390007e-07,5.700541144337824620e-03
2.079999999999999905e-01,6.799765026430090037e-03,1.122638809521635626e-06,1.338199477217603466e-06,1.253017050018112951e-08,4.651012209202847610e-07,6.796826556751930752e-03
2.089999999999999913e-01,8.282325173814083022e-03,1.362872575834928685e-06,1.319066038707330579e-06,1.325068095749353245e-08,9.649623127286966762e-07,8.278665022205854498e-03
2.099999999999999922e-01,1.020443006206311551e-02,1.671015150254898551e-06,1.207755066914447193e-06,1.780163498095347717e-08,1.423282040232131985e-06,1.020011020817073247e-02
2.109999999999999931e-01,1.262295672320730422e-02,2.049450062285683816e-06,1.077429584956349120e-06,2.585741799898993183e-08,1.314339617865013222e-06,1.261848964652419886e-02
2.119999999999999940e-01,1.559859549403429940e-02,2.512273084937784745e-06,1.042537434750846241e-06,3.398201824905629232e-08,8.090733878644703206e-07,1.559419762810849638e-02
2.129999999999999949e-01,1.919542560787682733e-02,3.083861597253582769e-06,1.112058000806583753e-06,3.790538625245133236e-08,7.370288200936405880e-07,1.919045475407242171e-02
2.139999999999999958e-01,2.347983390294345468e-02,3.778404873309630671e-06,1.163421471840499372e-06,3.796213949909697936e-08,1.565883651069293435e-06,2.347328823080773591e-02
2.149999999999999967e-01,2.852001903938956168e-02,4.587785908997474106e-06,1.084705280978886391e-06,4.115841857378496700e-08,2.635742053267931766e-06,2.851166964772774287e-02
2.159999999999999976e-01,3.438666927501375647e-02,5.501843830120148614e-06,9.142372110316717866e-07,5.473723619327521509e-08,2.792833414116227794e-06,3.437740562332229632e-02
2.169999999999999984e-01,4.115384026954388430e-02,6.541096578375814135e-06,8.006224790991955234e-07,7.665754114358201059e-08,1.847781230208789606e-06,4.114457411171505707e-02
2.179999999999999993e-01,4.889862056175837968e-02,7.755089941088013836e-06,8.267771179948579511e-07,9.514469597870437908e-08,1.036505239872472731e-06,4.888890704476344523e-02
2.190000000000000002e-01,5.769957987216941392e-02,9.176722453427687030e-06,9.114536322873762747e-07,1.008152097703176863e-07,1.671679498138899827e-06,5.768771920137578946e-02
2.200000000000000011e-01,6.763556975522158621e-02,1.078619140695349029e-05,9.072773947182186434e-07,9.874776837628747560e-08,3.444108260065180967e-06,6.762033343039147715e-02
2.210000000000000020e-01,7.878612632659581783e-02,1.254032821135625441e-05,7.747023126920634962e-07,1.049446343650740857e-07,4.538011364359863364e-06,7.876816834007303869e-02
2.220000000000000029e-01,9.123275401009631191e-02,1.444433730630389461e-05,6.232935608718435627e-07,1.287199422601918506e-07,3.702312248919096041e-06,9.121385534703795039e-02
