energy_au,total_recorded_SI,n1_l0_m+0,n2_l0_m+0,n2_l1_m-1,n2_l1_m+0,n2_l1_m+1
2.029999999999999860e-01,3.805004925969302117e-05,1.273864470608499372e-08,2.153660014654397989e-06,1.224419726960612390e-08,1.352299714587584189e-07,3.573617643160417409e-05
2.039999999999999869e-01,7.618792219488348006e-05,1.896387868826506293e-08,2.126183995037054870e-06,1.617208818557641772e-08,1.646566662898937400e-07,7.386194556668269537e-05
2.049999999999999878e-01,1.295695408958525276e-04,2.773377084395092013e-08,2.090454291739836728e-06,2.232248831806058021e-08,1.946444569821408885e-07,1.272343858879685470e-04
2.059999999999999887e-01,1.973671310641892827e-04,3.884543071662638796e-08,2.045667618890165362e-06,3.051395480058094213e-08,2.175501497453799380e-07,1.950345539100365345e-04
2.069999999999999896e-01,2.777438578925334883e-04,5.180408081171355690e-08,1.999776314884781977e-06,4.036770920192367916e-08,2.387189687876907965e-07,2.754131908188473909e-04
2.079999999999999905e-01,3.678286161184037483e-04,6.628004544486341090e-08,1.958854028253842322e-06,5.169348782214343148e-08,2.715427987850272174e-07,3.654802457580978497e-04
2.089999999999999913e-01,4.637384385527466325e-04,8.199801451204196675e-08,1.918130799366625424e-06,6.477487126533601342e-08,3.172503869570132231e-07,4.613562844806456432e-04
2.099999999999999922e-01,5.607081217612521623e-04,9.808214180840386380e-08,1.868204695749543211e-06,7.997101352485422760e-08,3.594557856652820442e-07,5.583024081245041310e-04
2.109999999999999931e-01,6.533352286894933457e-04,1.130674297237000238e-07,1.808155430574504337e-06,9.702647918544084563e-08,3.854447084438673081e-07,6.509315346415658204e-04
2.119999999999999940e-01,7.358804367895965251e-04,1.259213778195996652e-07,1.747205830995957592e-06,1.151168337798291555e-07,4.056963719890926589e-07,7.334864963750120474e-04
2.129999999999999949e-01,8.025800741530379886e-04,1.365839095855348064e-07,1.692665963736710078e-06,1.337560152098951332e-07,4.415316095976998231e-07,8.001755366549080954e-04
2.139999999999999958e-01,8.480045056761059902e-04,1.449210293792447916e-07,1.640845388676170868e-06,1.533776768628639943e-07,4.954325360962773889e-07,8.455699290450914085e-04
2.149999999999999967e-01,8.675099805612644871e-04,1.495189576126631989e-07,1.582874153708104577e-06,1.746901910227178894e-07,5.459047297448925661e-07,8.650569925291761494e-04
2.159999999999999976e-01,8.577488277248805811e-04,1.484579029460964218e-07,1.516682604320352330e-06,1.975899252721287933e-07,5.759576042302555514e-07,8.553101396881117400e-04
2.169999999999999984e-01,8.171383534131694115e-04,1.414025778322793404e-07,1.449007461818926572e-06,2.211210849417930630e-07,5.961049288111799286e-07,8.147307173597652863e-04
2.179999999999999993e-01,7.462365290485292171e-04,1.300255170601862940e-07,1.386040799341519690e-06,2.445745712578016080e-07,6.294606148521868551e-07,7.438464275460175169e-04
2.190000000000000002e-01,6.480593657121399166e-04,1.159132237241287201e-07,1.326247152589960194e-06,2.682377994028605511e-07,6.800575833889330018e-07,6.456689099530339964e-04
2.200000000000000011e-01,5.283666738200569913e-04,9.895326540296330635e-08,1.264100754975203940e-06,2.927995462326720318e-07,7.288994199231391013e-07,5.259819208335230574e-04
2.210000000000000020e-01,3.958498980024906569e-04,7.877087830796751316e-08,1.197991037001042908e-06,3.182840249612567704e-07,7.616087748635518911e-07,3.934932432873568622e-04
2.220000000000000029e-01,2.621208125009191563e-04,5.723034873065099290e-08,1.131416093215488694e-06,3.439755645539707070e-07,7.866467069077379278e-07,2.598015437875113190e-04
2.230000000000000038e-01,1.414803398918630347e-04,3.820678816743407258e-08,1.067457207298949940e-06,3.693261763090853774e-07,8.193768235562889266e-07,1.391859728965312711e-04
2.239999999999999769e-01,5.052358589145475418e-05,2.493313554604047999e-08,1.005311645948506785e-06,3.944913575636898714e-07,8.587885834381595797e-07,4.824006116895835906e-05
2.249999999999999778e-01,7.599101841073278534e-06,1.908127985214965180e-08,9.429405242740894260e-07,4.198085370762351212e-07,8.924736415383715171e-07,5.324797858332433215e-06
2.259999999999999787e-01,3.206113273833479944e-05,2.297382571794678864e-08,8.806351448005075353e-07,4.451131713110535882e-07,9.194108262138600736e-07,2.979299977029142829e-05
2.269999999999999796e-01,1.432784789178202702e-04,4.094838303962924720e-08,8.201778726788142019e-07,4.699270839413569281e-07,9.517043144848675042e-07,1.409957212636755899e-04
2.279999999999999805e-01,3.594735940619204974e-04,7.686147817370777247e-08,7.617817208603712033e-07,4.941474098983776351e-07,9.911946692295342486e-07,3.571496087837585038e-04
2.289999999999999813e-01,6.964969782707848079e-04,1.313340789975799726e-07,7.039990652835265449e-07,5.181023283061500414e-07,1.020677700700000971e-06,6.941228650974975772e-04
2.299999999999999822e-01,1.166550129512846550e-03,2.038436269702277504e-07,6.465235654872767826e-07,5.418583596773306234e-07,1.029796422534253340e-06,1.164128107538177533e-03
2.309999999999999831e-01,1.776821293148618704e-03,2.971811273214813265e-07,5.912027651069077584e-07,5.648723592490334926e-07,1.037806861335673276e-06,1.774330230035605542e-03
2.319999999999999840e-01,2.528112714654161264e-03,4.163782072827475729e-07,5.395702180153188590e-07,5.866065613297112826e-07,1.071434475613594306e-06,2.525498725191919688e-03
